radiosonde_id,year,nobs,lat,lon,year_first,year_last
AGM00060571,2001,1311,31.5,-2.25,1948,2023
AGM00060571,2002,1352,31.5,-2.25,1948,2023
AGM00060571,2003,1329,31.5,-2.25,1948,2023
AGM00060571,2004,1352,31.5,-2.25,1948,2023
AGM00060571,2005,1335,31.5,-2.25,1948,2023
AGM00060571,2006,1340,31.5,-2.25,1948,2023
AGM00060571,2007,1379,31.5,-2.25,1948,2023
AGM00060571,2008,1044,31.5,-2.25,1948,2023
AGM00060571,2009,674,31.5,-2.25,1948,2023
AGM00060571,2010,659,31.5,-2.25,1948,2023
AGM00060571,2011,715,31.5,-2.25,1948,2023
AGM00060571,2012,687,31.5,-2.25,1948,2023
AGM00060571,2013,674,31.5,-2.25,1948,2023
AGM00060571,2014,725,31.5,-2.25,1948,2023
AGM00060571,2015,730,31.5,-2.25,1948,2023
AGM00060571,2016,529,31.5,-2.25,1948,2023
AGM00060571,2017,361,31.5,-2.25,1948,2023
AGM00060571,2018,362,31.5,-2.25,1948,2023
AGM00060571,2019,363,31.5,-2.25,1948,2023
AGM00060571,2020,231,31.5,-2.25,1948,2023
AGM00060580,1997,86,31.9333,5.4,1963,1997
AGM00060590,1985,1235,30.567,2.867,1973,2008
AGM00060590,1986,1306,30.567,2.867,1973,2008
AGM00060590,1987,1340,30.567,2.867,1973,2008
AGM00060590,1988,1319,30.567,2.867,1973,2008
AGM00060590,1989,1098,30.567,2.867,1973,2008
AGM00060590,1990,726,30.567,2.867,1973,2008
AGM00060590,1991,523,30.567,2.867,1973,2008
AGM00060590,1992,570,30.567,2.867,1973,2008
AGM00060590,1993,570,30.567,2.867,1973,2008
AGM00060590,1994,575,30.567,2.867,1973,2008
AGM00060590,1995,588,30.567,2.867,1973,2008
AGM00060590,1996,647,30.567,2.867,1973,2008
AGM00060590,1997,596,30.567,2.867,1973,2008
AGM00060590,1998,648,30.567,2.867,1973,2008
AGM00060590,1999,554,30.567,2.867,1973,2008
AGM00060590,2000,584,30.567,2.867,1973,2008
AGM00060590,2001,496,30.567,2.867,1973,2008
AGM00060590,2002,621,30.567,2.867,1973,2008
AGM00060590,2003,575,30.567,2.867,1973,2008
AGM00060590,2004,532,30.567,2.867,1973,2008
AGM00060590,2005,598,30.567,2.867,1973,2008
AGM00060590,2006,582,30.567,2.867,1973,2008
AGM00060590,2007,636,30.567,2.867,1973,2008
AGM00060590,2008,282,30.567,2.867,1973,2008
AGM00060602,1985,869,30.133,-2.167,1981,1990
AGM00060602,1986,934,30.133,-2.167,1981,1990
AGM00060602,1987,484,30.133,-2.167,1981,1990
AGM00060602,1988,991,30.133,-2.167,1981,1990
AGM00060602,1989,844,30.133,-2.167,1981,1990
AGM00060602,1990,39,30.133,-2.167,1981,1990
AGM00060607,1985,488,29.25,0.283,1973,1991
AGM00060607,1986,553,29.25,0.283,1973,1991
AGM00060607,1987,568,29.25,0.283,1973,1991
AGM00060607,1988,688,29.25,0.283,1973,1991
AGM00060607,1989,356,29.25,0.283,1973,1991
AGM00060607,1990,192,29.25,0.283,1973,1991
AGM00060607,1991,92,29.25,0.283,1973,1991
AGM00060611,1985,1075,28.05,9.633,1973,1989
AGM00060611,1986,382,28.05,9.633,1973,1989
AGM00060611,1987,59,28.05,9.633,1973,1989
AGM00060611,1988,178,28.05,9.633,1973,1989
AGM00060611,1989,201,28.05,9.633,1973,1989
AGM00060620,1985,738,27.883,-0.283,1973,2008
AGM00060620,1986,778,27.883,-0.283,1973,2008
AGM00060620,1987,987,27.883,-0.283,1973,2008
AGM00060620,1988,1031,27.883,-0.283,1973,2008
AGM00060620,1989,846,27.883,-0.283,1973,2008
AGM00060620,1990,855,27.883,-0.283,1973,2008
AGM00060620,1991,488,27.883,-0.283,1973,2008
AGM00060620,1992,543,27.883,-0.283,1973,2008
AGM00060620,1993,377,27.883,-0.283,1973,2008
AGM00060620,1994,526,27.883,-0.283,1973,2008
AGM00060620,1995,576,27.883,-0.283,1973,2008
AGM00060620,1996,562,27.883,-0.283,1973,2008
AGM00060620,1997,577,27.883,-0.283,1973,2008
