radiosonde_id,lat,lon,year_first,year_last,iso3
ASM00094647,-31.6667,128.8667,1995,2012,AUS
ASM00094653,-32.1297,133.6975,1950,2023,AUS
ASM00094659,-31.1558,136.8053,1949,2023,AUS
ASM00094672,-34.9525,138.5203,1945,2023,AUS
ASM00094693,-34.2358,142.0867,1950,2013,AUS
ASM00094711,-31.4839,145.8294,1962,2023,AUS
ASM00094750,-34.9469,150.5353,1950,2023,AUS
ASM00094767,-33.9464,151.1731,1946,2023,AUS
ASM00094776,-32.7933,151.8358,1954,2023,AUS
ASM00094791,-30.3108,153.1186,1951,2013,AUS
ASM00094802,-34.9414,117.8022,1965,2023,AUS
ASM00094821,-37.7472,140.7739,1945,2023,AUS
ASM00094865,-37.867,144.75,1948,1999,AUS
ASM00094866,-37.6656,144.8322,1946,2023,AUS
ASM00094907,-38.1,147.1333,1950,2009,AUS
ASM00094910,-35.1583,147.4572,1946,2023,AUS
ASM00094926,-35.3,149.183,1947,2005,AUS
ASM00094968,-41.533,147.2,1938,2003,AUS
ASM00094975,-42.8339,147.5033,1953,2023,AUS
ASM00094995,-31.5422,159.0786,1950,2023,AUS
ASM00094998,-54.4994,158.937,1948,2023,AUS
ASM00095527,-29.4897,149.8472,1964,2023,AUS
AUM00011010,48.2353,14.1881,1987,2023,AUT
AUM00011035,48.2486,16.3564,1910,2023,AUT
AUM00011120,47.2603,11.3439,1998,2023,AUT
AUM00011240,46.9931,15.4392,1987,2023,AUT
AYM00089001,-70.317,-2.367,1957,1992,
AYM00089002,-70.6667,-8.25,1984,2023,
AYM00089009,-90.0,-0.0,1961,2023,
AYM00089022,-75.445,-26.2181,1957,2023,
AYM00089050,-62.183,-58.883,1970,1999,
AYM00089055,-64.2333,-56.7167,1982,2023,
AYM00089056,-62.1833,-58.9833,2018,2023,
AYM00089062,-67.5661,-68.1297,2002,2023,
AYM00089512,-70.7678,11.8317,1969,2023,
AYM00089532,-69.0053,39.5811,1959,2023,
AYM00089542,-67.667,45.85,1969,1998,
AYM00089564,-67.6017,62.8753,1954,2023,
AYM00089571,-68.5744,77.9672,1957,2023,
