datetime,tmp,tmp_3h,tmp_6h,slp,slp_3h,slp_6h,QUALITY_CONTROL
2010-02-13 00:00:00,6.3100000000000005,5.976666666666667,3.2528571428571427,1007.4100000000001,1007.3433333333332,,V020
2010-02-13 12:00:00,1.01,1.3433333333333335,1.6528571428571428,,,,V020
2010-02-14 00:00:00,2.6100000000000003,2.11,1.8671428571428572,996.8100000000001,997.1433333333334,997.1099999999999,V020
2010-02-14 12:00:00,0.31,0.4766666666666666,0.8814285714285715,998.61,998.9433333333333,,V020
2010-02-15 00:00:00,0.51,0.7433333333333332,0.7385714285714285,1004.51,1004.4433333333333,1004.4385714285714,V020
2010-02-15 12:00:00,3.0100000000000002,2.3433333333333333,2.152857142857143,,,,V020
2010-02-16 00:00:00,3.41,3.2433333333333327,3.91,1011.11,1011.11,1011.1385714285715,V020
2010-02-16 12:00:00,6.409999999999999,6.576666666666665,6.724285714285714,1015.4100000000001,,,V020
2010-02-17 00:00:00,9.209999999999999,9.576666666666666,9.738571428571428,1017.4100000000001,1017.4433333333333,1017.3814285714286,V020
2010-02-17 12:00:00,12.01,12.01,11.581428571428571,,,,V020
2010-02-18 00:00:00,17.11,17.31,17.15285714285714,1016.11,1016.0766666666665,1015.9814285714285,V020
2010-02-18 12:00:00,14.41,14.476666666666665,14.924285714285714,1016.11,,,V020
2010-02-19 00:00:00,17.71,16.676666666666666,,1017.61,1017.61,,V020
2010-02-19 12:00:00,13.01,13.343333333333334,13.43857142857143,,,,V020
2010-02-20 00:00:00,15.809999999999999,16.043333333333333,15.967142857142857,1019.4100000000001,1019.3766666666667,1019.3671428571428,V020
2010-02-20 12:00:00,16.009999999999998,15.343333333333334,15.124285714285714,,,,V020
2010-02-21 00:00:00,17.11,17.076666666666664,16.767142857142854,1019.9100000000001,1019.7766666666666,1019.6528571428571,V020
2010-02-21 12:00:00,14.41,14.709999999999999,15.081428571428571,1016.9100000000001,1016.8433333333332,,V020
2010-02-22 00:00:00,16.509999999999998,15.943333333333333,15.695714285714285,1013.01,1012.9099999999999,1012.6814285714287,V020
2010-02-22 12:00:00,10.01,10.343333333333334,11.010000000000002,,,,V020
2010-02-23 00:00:00,17.21,,,1003.21,,,V020
2010-02-23 12:00:00,16.009999999999998,16.21,16.667142857142856,,,,V020
2010-02-24 00:00:00,18.81,19.076666666666668,18.909999999999997,998.51,998.31,998.1814285714287,V020
2010-02-24 12:00:00,16.31,16.31,16.738571428571426,999.11,,,V020
2010-02-25 00:00:00,11.91,11.876666666666667,12.524285714285714,999.01,998.8766666666666,998.8385714285713,V020
2010-02-25 12:00:00,10.11,10.376666666666667,11.309999999999999,1000.11,,,V020
2010-02-26 00:00:00,10.41,10.676666666666668,10.481428571428571,1003.71,1003.71,1003.6957142857143,V020
2010-02-26 12:00:00,8.01,8.043333333333335,8.167142857142856,,,,V020
2010-02-27 00:00:00,9.61,9.01,8.995714285714284,1003.51,1003.4099999999999,1003.2528571428572,V020
2010-02-27 12:00:00,10.01,9.676666666666668,10.095714285714285,,,,V020
2010-02-28 00:00:00,15.11,15.076666666666668,14.895714285714286,1002.21,1002.2766666666666,1002.2385714285713,V020
2010-02-28 12:00:00,12.209999999999999,12.410000000000002,12.838571428571429,1004.8100000000001,1004.7766666666666,,V020
2010-03-01 00:00:00,16.11,15.01,15.581428571428571,1003.71,1003.6766666666666,1003.7099999999999,V020
2010-03-01 12:00:00,13.01,12.676666666666668,12.724285714285715,,,,V020
2010-03-02 00:00:00,16.509999999999998,16.576666666666664,16.21,1007.11,1007.1433333333333,1007.1528571428571,V020
2010-03-02 12:00:00,14.01,12.676666666666668,13.038571428571428,,,,V020
2010-03-03 00:00:00,17.21,16.376666666666665,15.524285714285714,1014.11,1014.0433333333334,1014.1242857142859,V020
2010-03-03 12:00:00,8.209999999999999,8.743333333333334,9.752857142857142,1016.01,,,V020
2010-03-04 00:00:00,14.709999999999999,14.81,13.724285714285713,1017.9100000000001,1017.8766666666667,1017.6385714285715,V020
2010-03-04 12:00:00,6.01,6.4433333333333325,7.0528571428571425,,,,V020
2010-03-05 00:00:00,6.11,6.043333333333334,5.924285714285714,1012.11,1012.1433333333333,1012.0814285714285,V020
2010-03-05 12:00:00,4.01,3.01,3.438571428571428,,,,V020
2010-03-06 00:00:00,4.41,4.4433333333333325,4.424285714285714,1017.3100000000001,1017.31,1017.2957142857142,V020
2010-03-06 12:00:00,7.01,6.676666666666667,6.938571428571429,,,,V020
2010-03-07 00:00:00,0.31,0.7433333333333333,1.1528571428571428,1008.9100000000001,1008.81,1008.7242857142858,V020
2010-03-07 12:00:00,7.51,7.976666666666667,7.895714285714285,1001.9100000000001,1001.7433333333333,,V020
2010-03-08 00:00:00,2.1100000000000003,2.3433333333333333,3.281428571428571,992.3100000000001,991.71,991.41,V020
2010-03-08 12:00:00,4.51,4.776666666666667,4.467142857142858,995.3100000000001,995.1433333333333,,V020
2010-03-09 00:00:00,4.11,4.210000000000001,4.281428571428571,,,,V020
2010-03-09 12:00:00,5.01,5.010000000000001,4.967142857142856,,,,V020
2010-03-10 00:00:00,4.41,4.343333333333334,4.467142857142858,1002.4100000000001,1002.5099999999999,1002.5671428571429,V020
2010-03-10 12:00:00,4.01,3.676666666666667,3.724285714285714,,,,V020
2010-03-11 00:00:00,8.209999999999999,7.843333333333334,7.524285714285713,999.3100000000001,999.4766666666666,999.4957142857144,V020
2010-03-11 12:00:00,3.0100000000000002,2.6766666666666676,3.6814285714285715,,,,V020
2010-03-12 00:00:00,6.11,6.1433333333333335,6.6814285714285715,995.61,995.7766666666666,995.7099999999999,V020
2010-03-12 12:00:00,4.51,4.51,4.452857142857143,995.61,,,V020
2010-03-13 00:00:00,7.109999999999999,6.743333333333332,6.624285714285713,993.21,992.9766666666666,993.1242857142857,V020
2010-03-13 12:00:00,7.01,6.376666666666666,6.952857142857143,,,,V020
2010-03-14 00:00:00,7.109999999999999,7.476666666666666,8.138571428571428,998.01,997.8766666666667,997.61,V020
2010-03-14 12:00:00,5.8100000000000005,5.576666666666665,5.881428571428572,998.71,998.6766666666666,,V020
2010-03-15 00:00:00,9.61,10.209999999999999,10.395714285714286,1000.4100000000001,1000.4766666666666,1000.4814285714285,V020
2010-03-15 12:00:00,8.51,8.743333333333332,9.18142857142857,1003.51,1003.4766666666666,,V020
2010-03-16 00:00:00,11.41,11.976666666666667,11.867142857142856,1003.9100000000001,1003.81,1003.7242857142857,V020
2010-03-16 12:00:00,7.51,7.6099999999999985,7.724285714285714,1004.71,,,V020
2010-03-17 00:00:00,7.409999999999999,7.543333333333332,8.209999999999999,1004.61,1004.61,1004.6671428571428,V020
2010-03-17 12:00:00,6.01,6.143333333333332,7.21,,,,V020
2010-03-18 00:00:00,10.61,10.51,10.195714285714287,1007.61,1007.5766666666665,1007.51,V020
2010-03-18 12:00:00,5.01,4.676666666666665,5.438571428571429,,,,V020
2010-03-19 00:00:00,9.61,9.376666666666665,9.38142857142857,1004.4100000000001,1004.4766666666666,1004.5671428571428,V020
2010-03-19 12:00:00,4.01,3.6766666666666654,4.438571428571429,,,,V020
2010-03-20 00:00:00,10.11,10.543333333333331,10.68142857142857,994.3100000000001,994.3766666666666,994.4385714285714,V020
2010-03-20 12:00:00,5.01,5.676666666666665,6.138571428571429,,,,V020
2010-03-21 00:00:00,4.01,4.243333333333331,4.824285714285715,,,,V020
2010-03-21 12:00:00,1.61,1.9766666666666655,2.0100000000000002,997.61,997.4766666666666,,V020
2010-03-22 00:00:00,4.61,4.843333333333333,4.781428571428571,997.51,997.3766666666666,997.4242857142856,V020
2010-03-22 12:00:00,2.0100000000000002,2.0099999999999993,2.4385714285714286,,,,V020
2010-03-23 00:00:00,1.9100000000000001,2.0766666666666658,2.1242857142857146,,,,V020
2010-03-23 12:00:00,2.0100000000000002,2.009999999999999,1.8671428571428574,,,,V020
2010-03-24 00:00:00,6.11,6.076666666666665,6.024285714285713,1014.01,1014.0433333333334,1013.9385714285715,V020
2010-03-24 12:00:00,1.81,1.9766666666666655,2.61,1018.9100000000001,,,V020
2010-03-25 00:00:00,7.81,7.6099999999999985,7.709999999999999,1020.21,1020.1433333333333,1019.9528571428572,V020
2010-03-25 12:00:00,1.01,1.0766666666666656,2.0385714285714287,,,,V020
